EntryFlight_Time,TOWN_TO,Airline_Name,Lat_from,Lat_to,Lon_from,Lon_to,count
2022-05-02 09:58:00,Грозный,Aeroflot,55.755864,43.318366,37.617698,45.692421,4
2022-05-02 13:35:00,Магас,Aeroflot,55.755864,43.166787,37.617698,44.803574,1
2022-05-02 16:43:00,Петропавловск-Кмч.,Aeroflot,55.755864,53.024265,37.617698,58.643503,1
2022-05-03 00:09:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,137
2022-05-03 00:20:00,Новосибирск,Nordavia,55.755864,55.030204,37.617698,82.92043,174
2022-05-03 00:23:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,86
2022-05-03 00:28:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,37
2022-05-03 00:30:00,Орск,Nordwind Airlines,55.755864,51.2293,37.617698,58.474675,191
2022-05-03 00:43:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,87
2022-05-03 00:45:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,70
2022-05-03 00:54:00,Екатеринбург,Nordwind Airlines,55.755864,56.838011,37.617698,60.597474,106
2022-05-03 01:01:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,97
2022-05-03 01:13:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,74
2022-05-03 01:17:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,70
2022-05-03 01:17:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,66
2022-05-03 01:39:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,43
2022-05-03 01:45:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,105
2022-05-03 01:57:00,Белград,JAT Airways,55.755864,44.816239,37.617698,20.460469,115
2022-05-03 01:58:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,27
2022-05-03 02:25:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,406
2022-05-03 02:48:00,Анталия,Corendon Airlines,55.755864,36.887099,37.617698,30.703249,7
2022-05-03 04:35:00,Сочи,Nordwind Airlines,55.755864,43.585472,37.617698,39.723098,7
2022-05-03 05:40:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,4
2022-05-03 06:05:00,Самара,Aeroflot,55.755864,53.195878,37.617698,50.100202,1
2022-05-03 06:08:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,7
2022-05-03 06:14:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,1
2022-05-03 06:27:00,Калининград,Aeroflot,55.755864,54.710162,37.617698,20.510137,7
2022-05-03 08:00:00,Казань,Aeroflot,55.755864,55.796127,37.617698,49.106414,1
2022-05-03 08:13:00,Пермь,Aeroflot,55.755864,58.010455,37.617698,56.229443,4
2022-05-03 08:40:00,Ставрополь,Aeroflot,55.755864,45.043317,37.617698,41.96911,1
2022-05-03 09:12:00,Уфа,Aeroflot,55.755864,54.735152,37.617698,55.958736,1
2022-05-03 15:32:00,Владивосток,Aeroflot,55.755864,43.115542,37.617698,131.885494,1
2022-05-03 17:41:00,Петропавловск-Кмч.,Aeroflot,55.755864,53.024265,37.617698,58.643503,1
2022-05-04 00:17:00,Сочи,Nordwind Airlines,55.755864,43.585472,37.617698,39.723098,91
2022-05-04 00:24:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,88
